name,white,black,api,native,multiple,hispanic
BARRY,0.9515,0.029,0.0103,0.0012,0.002,0.006
BART,0.9677,0.0072,0.0179,0.0,0.0,0.0072
BARTHOLOMEW,0.7872,0.1489,0.0213,0.0,0.0213,0.0213
BARTLEY,1.0,0.0,0.0,0.0,0.0,0.0
BARTON,0.9803,0.0,0.0066,0.0,0.0,0.0132
BASIL,0.9079,0.0789,0.0,0.0,0.0,0.0132
BASSAM,0.8868,0.0,0.0943,0.0189,0.0,0.0
BAXTER,1.0,0.0,0.0,0.0,0.0,0.0
BEATA,0.963,0.0,0.037,0.0,0.0,0.0
BEATE,0.9677,0.0,0.0323,0.0,0.0,0.0
BEATRICE,0.6196,0.1929,0.038,0.0081,0.0,0.1413
BEATRIZ,0.1648,0.0075,0.0375,0.0,0.0,0.7903
BEAU,0.98,0.0,0.0133,0.0,0.0067,0.0
BECKIE,1.0,0.0,0.0,0.0,0.0,0.0
BECKY,0.935,0.0078,0.0351,0.0,0.0013,0.0208
BELEN,0.1875,0.0208,0.2292,0.0,0.0,0.5625
BELINDA,0.703,0.1421,0.0461,0.0,0.0074,0.1015
BELLA,0.746,0.0159,0.1905,0.0,0.0159,0.0318
BEN,0.7713,0.0363,0.1562,0.0,0.0032,0.0331
BENEDETTO,1.0,0.0,0.0,0.0,0.0,0.0
BENEDICT,0.6458,0.0625,0.2396,0.0,0.0104,0.0417
BENIGNO,0.0333,0.0,0.1667,0.0,0.0,0.8
BENITA,0.4947,0.2316,0.0842,0.0,0.0,0.1895
BENITO,0.0882,0.0074,0.1029,0.0,0.0,0.8015
BENJAMIN,0.8518,0.0291,0.0468,0.0016,0.0019,0.0688
BENNETT,0.913,0.0435,0.0435,0.0,0.0,0.0
BENNIE,0.6149,0.3243,0.0068,0.0,0.0068,0.0473
BENNY,0.6161,0.0569,0.2133,0.0142,0.0095,0.09
BENSON,0.4043,0.0638,0.5319,0.0,0.0,0.0
BENTON,0.8974,0.0,0.0513,0.0256,0.0,0.0256
BERNABE,0.0323,0.0,0.2581,0.0,0.0,0.7097
BERNADETTE,0.75,0.0893,0.0684,0.003,0.0045,0.0848
BERNADINE,0.75,0.17,0.04,0.0,0.0,0.04
BERNARD,0.8449,0.1021,0.0338,0.0,0.0016,0.0177
BERNARDINO,0.1429,0.0,0.1143,0.0,0.0,0.7429
BERNARDO,0.0902,0.0226,0.1654,0.0,0.0,0.7218
BERNHARD,0.9815,0.0,0.0185,0.0,0.0,0.0
BERNICE,0.652,0.2633,0.0251,0.0,0.0,0.0596
BERNIE,0.7051,0.0513,0.1282,0.0,0.0,0.1154
BERT,0.899,0.0101,0.0808,0.0,0.0,0.0101
BERTA,0.3833,0.0333,0.0167,0.0,0.0,0.5667
BERTHA,0.2528,0.1207,0.0091,0.0023,0.0,0.615
BERTRAM,0.6,0.3111,0.0889,0.0,0.0,0.0
BERTRAND,0.6829,0.1951,0.0732,0.0,0.0244,0.0244
BERYL,0.8636,0.0909,0.0303,0.0151,0.0,0.0
BESSIE,0.4918,0.4098,0.0574,0.0,0.0,0.041
BETH,0.9857,0.0036,0.0044,0.0,0.0012,0.0052
BETHANN,1.0,0.0,0.0,0.0,0.0,0.0
BETHANNE,1.0,0.0,0.0,0.0,0.0,0.0
BETHANY,0.97,0.0117,0.0067,0.0017,0.0033,0.0067
