zcta5,white,black,api,native,multiple,hispanic
01718,0.6409999999999999,0.0043,0.2949,0.0043,0.0214,0.0342
01719,0.7908,0.0048,0.1634,0.0002,0.0181,0.0227
01720,0.7629,0.0106,0.1848,0.0005,0.0156,0.0257
01721,0.8272,0.0226,0.0886,0.001,0.0154,0.0452
01730,0.8414,0.0211,0.0948,0.0013,0.016,0.0254
01731,0.6614,0.0947,0.0323,0.0043,0.0545,0.1528
01740,0.9352,0.0045,0.0268,0.0014,0.0143,0.0178
01741,0.8792,0.0029,0.0787,0.0002,0.0184,0.0207
01742,0.8733,0.0368,0.0405,0.0005,0.012,0.0369
01745,0.8846,0.0026,0.0615,0.0,0.0179,0.0333
01746,0.9376,0.0087,0.0247,0.0009,0.0099,0.0182
01747,0.9437,0.0061,0.0173,0.0007,0.0107,0.0216
01748,0.9188,0.0082,0.0439,0.0005,0.0107,0.0179
01749,0.9007,0.0147,0.0226,0.0007,0.018000000000000002,0.0433
01752,0.7801,0.0264,0.0523,0.0014,0.0273,0.1125
01754,0.9061,0.0158,0.0274,0.0012,0.012,0.0375
01756,0.9652,0.0029,0.0101,0.0003,0.0089,0.0125
01757,0.847,0.0196,0.0247,0.0012,0.0228,0.0847
01760,0.8589,0.0195,0.0726,0.0009,0.018000000000000002,0.0301
01770,0.9358,0.0039,0.0333,0.0002,0.0129,0.0139
01772,0.8629,0.0085,0.0845,0.0014,0.0151,0.0277
01773,0.8743,0.0188,0.0607,0.0008,0.0206,0.0247
01775,0.9239,0.0067,0.0324,0.0014,0.0172,0.0185
01776,0.8962,0.0078,0.0594,0.0003,0.0164,0.0199
01778,0.855,0.0079,0.0983,0.0003,0.0141,0.0243
01801,0.8216,0.041,0.075,0.0012,0.0155,0.0456
01803,0.7942,0.0322,0.134,0.0013,0.0145,0.0237
01810,0.8361,0.0104,0.1033,0.0005,0.0137,0.0361
01821,0.8925,0.016,0.0564,0.001,0.0122,0.0219
01824,0.8809,0.009000000000000001,0.0794,0.001,0.0111,0.0188
01826,0.8844,0.0235,0.0402,0.0011,0.0118,0.039
01827,0.9415,0.0019,0.0318,0.0009,0.0101,0.0138
01830,0.7922,0.0235,0.0148,0.0016,0.0151,0.1526
01832,0.7515,0.029,0.0175,0.0014,0.0168,0.1839
01833,0.9576,0.0045,0.0093,0.0009,0.0103,0.0175
01834,0.9651,0.0043,0.0095,0.0005,0.0074,0.0132
01835,0.8789,0.0224,0.0162,0.0007,0.0113,0.0703
01840,0.1539,0.0295,0.0076,0.0019,0.004,0.8031
01841,0.1516,0.0206,0.0106,0.0021,0.0059,0.8092
01843,0.3194,0.0253,0.0503,0.0008,0.0089,0.5953
01844,0.7507,0.0198,0.037000000000000005,0.0014,0.0102,0.1809
01845,0.86,0.0151,0.0631,0.0008,0.0117,0.0494
01850,0.5579,0.0836,0.0907,0.0008,0.0249,0.2421
01851,0.4019,0.0596,0.385,0.0006,0.0246,0.1283
01852,0.6263,0.0592,0.1124,0.0019,0.0229,0.1772
01854,0.5624,0.0509,0.1775,0.0016,0.0203,0.1872
01860,0.9577,0.0057,0.0065,0.0013,0.0107,0.0182
01862,0.8657,0.0336,0.0478,0.0019,0.0134,0.0377
